City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,albany,42.6001,-73.9662,8.23,69,68,0.45,US,1735604895
83,port alfred,-33.5906,26.891,23.43,91,97,4.47,ZA,1735604929
84,sungailiat,-1.85,106.1333,25.4,88,100,2.54,ID,1735604931
85,an muileann gcearr,53.5333,-7.35,10.1,69,100,8.18,IE,1735604932
86,isafjordur,66.0755,-23.124,-7.34,75,100,7.84,IS,1735604934
87,kenai,60.5544,-151.2583,-2.14,68,0,7.72,US,1735604936
88,tiksi,71.6872,128.8694,-35.45,98,95,1.31,RU,1735604937
89,kingston,17.997,-76.7936,27.53,65,20,3.6,JM,1735604938
90,hasaki,35.7333,140.8333,9.87,61,100,7.53,JP,1735604939
91,olinda,-8.0089,-34.8553,27.85,74,40,4.12,BR,1735604940
92,utrik,11.2278,169.8474,26.98,75,71,7.16,MH,1735604941
93,tsiombe,-25.3,45.4833,24.2,85,4,3.29,MG,1735604943
94,tolanaro,-25.0319,46.9987,26.04,83,20,4.12,MG,1735604944
95,anadyr,64.75,177.4833,-6.72,79,40,28.0,RU,1735604945
96,mantua,45.1667,10.7833,1.34,73,0,1.5,IT,1735604946
97,ancud,-41.8697,-73.8203,11.81,67,31,4.01,CL,1735604947
98,kodiak,57.79,-152.4072,3.73,93,100,13.38,US,1735604857
99,huarmey,-10.0681,-78.1522,21.77,79,98,3.95,PE,1735604949
100,nizhnyaya salda,58.0776,60.7202,-8.46,81,92,5.36,RU,1735604952
101,rovnoye,50.7765,46.0509,-3.55,91,71,5.18,RU,1735604953
102,dalandzadgad,43.5708,104.425,-9.74,49,1,0.8,MN,1735604954
103,cururupu,-1.8283,-44.8683,24.51,88,92,0.97,BR,1735604955
104,anchau,10.9597,8.3916,17.65,28,8,2.67,NG,1735604956
105,nova sintra,14.8667,-24.7167,25.35,77,81,4.71,CV,1735604958
106,wailua homesteads,22.0669,-159.378,26.44,78,40,6.17,US,1735604959
107,gorom-gorom,14.4439,-0.2361,22.88,13,0,3.59,BF,1735604960
108,novoishimskiy,53.1981,66.7694,-18.57,99,51,3.25,KZ,1735604961
109,linxia chengguanzhen,35.6003,103.2064,-10.3,72,1,1.28,CN,1735604962
110,afaahiti,-17.75,-149.2833,26.61,73,69,1.12,PF,1735604963
111,luderitz,-26.6481,15.1594,17.07,92,0,5.08,,1735604965
112,barra,-11.0894,-43.1417,24.58,73,89,1.31,BR,1735604966
113,beaufort,5.3473,115.7455,26.07,88,34,0.61,MY,1735604821
114,hermanus,-34.4187,19.2345,17.67,76,22,7.17,ZA,1735604968
115,chul'man,56.8479,124.9104,-22.18,99,100,1.29,RU,1735604969
116,mana,5.6592,-53.7767,25.39,86,78,3.09,GF,1735604970
117,praia da vitoria,38.7333,-27.0667,17.14,82,40,8.6,PT,1735604971
118,constantia,44.1833,28.65,1.5,83,36,2.99,RO,1735604973
119,adelanto,34.5828,-117.4092,16.57,43,80,1.72,US,1735604974
120,namibe,-15.1961,12.1522,22.94,73,72,1.78,AO,1735604975
121,st. john's,47.5649,-52.7093,1.1,94,100,1.54,CA,1735604866
122,mora,11.0461,14.1401,20.81,24,73,2.6,CM,1735604979
123,satwas,22.5333,76.6833,15.27,67,0,2.59,IN,1735604980
124,champerico,14.3,-91.9167,26.78,72,100,2.89,GT,1735604981
125,brisas de zicatela,15.8369,-97.0419,28.29,74,0,1.03,MX,1735604982
126,fort st. john,56.2499,-120.8529,-14.06,78,75,2.06,CA,1735604719
127,puerto natales,-51.7236,-72.4875,12.56,84,100,1.42,CL,1735604984
128,al bawiti,28.3492,28.8659,9.84,57,1,4.16,EG,1735604985
129,port elizabeth,-33.918,25.5701,22.16,92,0,8.23,ZA,1735604987
130,lorengau,-2.0226,147.2712,29.4,69,100,0.41,PG,1735604988
131,cole harbour,44.6724,-63.4751,7.66,97,100,7.2,CA,1735604989
132,ilhabela,-23.7781,-45.3581,23.43,90,57,3.19,BR,1735604771
133,portland,45.5234,-122.6762,8.67,89,77,1.79,US,1735604600
134,college,64.8569,-147.8028,-26.62,69,0,2.06,US,1735604992
135,bucerias,20.75,-105.3333,24.99,78,0,2.57,MX,1735604994
136,crane,31.3974,-102.3501,19.77,14,0,3.05,US,1735604995
137,atafu village,-8.5421,-172.5159,28.15,76,83,4.87,TK,1735604996
138,saint croix,17.7397,-64.7388,22.75,76,91,0.89,VI,1735604997
139,iscar,41.3434,-4.5246,1.92,72,0,0.87,ES,1735604998
140,seeb,23.6703,58.1891,19.05,72,0,1.54,OM,1735604999
141,al hudaydah,14.7978,42.9545,23.87,81,4,2.46,YE,1735605001
142,badger,64.8,-147.5333,-26.67,73,20,2.06,US,1735605002
143,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,45,40,1.0,RU,1735605003
144,new norfolk,-42.7826,147.0587,21.51,21,11,1.69,AU,1735605004
145,georgetown,5.4112,100.3354,26.96,73,20,3.09,MY,1735604737
146,klaksvik,62.2266,-6.589,-1.85,63,100,6.37,FO,1735605007
147,iqaluit,63.7506,-68.5145,-25.15,69,0,1.03,CA,1735605008
148,shantou,23.3681,116.7148,11.92,94,0,0.0,CN,1735605009
149,geraldton,-28.7667,114.6,27.23,57,0,0.51,AU,1735605010
150,vilyuchinsk,52.9306,158.4028,-5.85,78,97,5.43,RU,1735605011
151,okha,53.5739,142.9478,-23.5,98,59,3.88,RU,1735605014
152,bayanaul,50.7889,75.6956,-13.08,97,93,2.23,KZ,1735605015
153,basco,20.4487,121.9702,24.17,87,100,10.54,PH,1735605017
154,chonchi,-42.6128,-73.8092,7.66,85,5,1.45,CL,1735605019
155,hithadhoo,-0.6,73.0833,26.58,74,26,4.56,MV,1735605020
156,vilyuysk,63.7553,121.6247,-49.04,100,70,1.25,RU,1735605021
157,siwa oasis,29.2041,25.5195,10.86,64,100,3.65,EG,1735605022
158,bermejo,-32.8833,-68.8,27.12,42,0,1.53,AR,1735605023
159,tazacorte,28.629,-17.9293,17.86,66,0,4.92,ES,1735605024
160,dryden,49.7833,-92.7503,-4.84,100,100,3.6,CA,1735605026
161,prince rupert,54.3161,-130.3201,5.83,88,100,3.6,CA,1735605027
162,udachny,66.4167,112.4,-34.21,100,100,0.27,RU,1735605028
163,alo,6.5486,4.2686,24.94,90,44,1.65,NG,1735605030
164,coahuayana de hidalgo,18.7,-103.6583,21.68,87,96,0.75,MX,1735605031
165,pilibangan,29.45,74.0833,10.22,34,100,1.66,IN,1735605032
166,lospalos,-8.5186,127.0025,22.89,96,100,0.91,TL,1735605033
167,porto novo,6.4965,2.6036,27.9,83,15,2.28,BJ,1735605034
168,visby,57.6409,18.296,3.12,87,100,5.66,SE,1735605036
169,anna regina,7.2644,-58.5077,25.37,84,94,3.07,GY,1735605037
170,mount isa,-20.7333,139.5,35.87,14,0,6.17,AU,1735605038
171,kone,-21.0595,164.8658,31.71,42,17,4.26,NC,1735605039
172,galliano,29.4422,-90.2992,19.08,85,0,4.58,US,1735605040
173,waddan,29.1614,16.139,11.34,70,100,4.54,LY,1735605041
174,villa gesell,-37.2639,-56.973,18.31,79,43,9.52,AR,1735604922
175,bandon,51.7469,-8.7425,9.77,76,100,8.25,IE,1735605044
176,savoy,45.5,6.4167,-5.35,39,5,3.45,FR,1735605045
